Team,0,1,2,3,4,5,6,7,8,9,10,11
Panthers,1712.24,1701.98,1705.84,1705.84,1698.15,1702.25,1704.3,1706.53,1699.83,1688.81,1691.29,1695.43
Storm,1695.73,1700.51,1689.57,1679.65,1680.81,1686.51,1690.74,1682.04,1683.69,1683.69,1675.96,1678.31
Rabbitohs,1615.09,1620.86,1617.0,1611.87,1615.12,1609.42,1612.31,1617.42,1624.12,1628.67,1636.4,1637.89
Roosters,1624.95,1617.68,1619.72,1624.85,1624.85,1629.04,1624.81,1618.27,1620.76,1624.14,1628.21,1624.07
Sharks,1553.5,1547.73,1554.95,1549.5,1554.49,1545.36,1545.36,1551.9,1555.5,1559.21,1565.12,1570.58
Raiders,1550.66,1544.34,1538.57,1544.02,1536.25,1532.15,1538.13,1541.71,1541.71,1546.36,1550.1,1555.32
Eels,1575.87,1571.09,1563.87,1557.28,1564.97,1560.78,1563.96,1566.22,1558.04,1560.76,1552.62,1547.4
Sea Eagles,1478.05,1481.19,1481.19,1487.78,1484.53,1476.31,1474.26,1482.96,1487.24,1478.64,1485.59,1480.13
Broncos,1451.63,1461.89,1467.54,1472.37,1479.98,1483.0,1477.02,1482.22,1490.4,1485.85,1478.9,1476.55
Cowboys,1483.66,1489.98,1484.33,1475.98,1479.62,1472.31,1466.06,1459.84,1463.99,1460.28,1456.21,1460.73
Dragons,1443.32,1443.32,1447.36,1442.53,1437.54,1444.0,1437.66,1434.08,1431.59,1423.49,1416.87,1412.35
Warriors,1385.48,1390.8,1388.76,1397.11,1401.64,1410.77,1405.31,1411.53,1409.88,1406.5,1404.02,1410.04
Knights,1394.03,1388.71,1394.89,1390.12,1397.89,1394.11,1399.57,1397.34,1393.19,1390.47,1390.47,1395.65
Titans,1367.22,1373.89,1369.85,1379.77,1376.13,1376.13,1382.47,1377.27,1374.1,1382.7,1390.84,1385.66
Bulldogs,1345.84,1342.7,1353.64,1358.67,1354.14,1361.45,1358.56,1356.3,1352.7,1360.8,1357.06,1351.04
Wests Tigers,1357.73,1351.06,1344.88,1339.85,1338.69,1335.67,1332.49,1332.49,1328.21,1339.23,1345.85,1344.36
Dolphins,1502.2,1509.47,1515.24,1520.01,1512.4,1505.94,1512.19,1507.08,1510.25,1505.6,1499.69,1499.69
